id,place_id_x,place_id_y,duration
0,1,19,171.5
1,1,24,135.5
2,2,3,20.058823529411764
3,2,4,39.4
4,2,5,105.8
5,2,6,194.0
6,2,7,153.8
7,2,19,57.11764705882353
8,3,2,16.7
9,3,4,58.4
10,3,5,124.8
11,3,6,214.0
12,3,7,173.8
13,3,19,33.05882352941177
14,4,2,46.35294117647059
15,4,3,69.05882352941177
16,4,5,63.6
17,4,6,153.0
18,4,7,112.8
19,4,19,106.11764705882354
20,5,2,113.3529411764706
21,5,3,136.05882352941177
22,5,4,63.705882352941174
23,5,6,87.4
24,5,7,47.2
25,5,19,173.11764705882354
26,6,2,222.0
27,6,3,242.0
28,6,4,165.66666666666666
29,6,5,91.83333333333333
30,6,7,38.166666666666664
31,6,19,276.3333333333333
32,7,2,180.83333333333334
33,7,3,200.83333333333334
34,7,4,124.5
35,7,5,50.666666666666664
36,7,6,37.2
37,7,19,235.16666666666666
38,10,15,48.59090909090909
39,10,24,146.72727272727272
40,15,10,49.5
41,15,24,96.13636363636364
42,19,1,190.5
43,19,2,52.1
44,19,3,33.1
45,19,4,93.8
46,19,5,160.2
47,19,6,250.6
48,19,7,210.4
49,19,24,328.5
50,19,28,203.06451612903226
51,19,38,442.44444444444446
52,19,45,711.25
53,19,72,595.0
54,19,80,598.2
55,19,93,302.06976744186045
56,19,97,187.40845070422534
57,19,105,597.28
58,19,123,618.6153846153846
59,19,124,639.6153846153846
60,19,125,578.5384615384615
61,19,127,665.0
62,19,145,728.2413793103449
63,19,148,755.1724137931035
64,19,151,776.2068965517242
65,24,1,132.0
66,24,10,142.58333333333334
67,24,15,91.08333333333333
68,24,19,306.5
69,24,38,130.01818181818183
70,24,72,180.72
71,24,105,368.63157894736844
72,24,106,322.6923076923077
73,24,123,269.0851063829787
74,24,124,249.52941176470588
75,24,125,297.25531914893617
76,24,127,212.02
77,28,19,206.3125
78,28,38,210.42857142857142
79,38,19,440.85714285714283
80,38,24,130.67441860465115
81,38,28,209.77272727272728
82,38,72,43.483333333333334
83,38,80,110.21428571428571
84,38,83,220.25925925925927
85,38,105,231.22916666666666
86,38,106,184.78571428571428
87,38,123,131.66666666666666
88,38,124,111.52941176470588
89,38,125,159.80701754385964
90,38,127,74.78333333333333
91,45,19,730.3461538461538
92,72,19,566.9375
93,72,24,180.27777777777777
94,72,38,43.851063829787236
95,72,105,185.125
96,72,106,139.21428571428572
97,72,123,85.73684210526316
98,72,124,66.29411764705883
99,72,125,113.87719298245614
100,72,127,31.276315789473685
101,72,145,119.125
102,72,148,146.0625
103,72,151,168.125
104,80,19,641.6333333333333
105,80,38,109.76190476190476
106,80,83,107.03703703703704
107,83,38,218.10526315789474
108,83,80,105.73684210526316
109,93,19,305.27272727272725
110,93,93,8.448275862068966
111,97,19,179.64367816091954
112,105,19,596.7058823529412
113,105,24,369.7241379310345
114,105,38,233.275
115,105,72,187.25
116,105,106,45.666666666666664
117,105,123,96.425
118,105,124,118.06666666666666
119,105,125,69.15
120,105,127,154.55
121,106,24,323.5833333333333
122,106,38,187.73333333333332
123,106,72,142.13333333333333
124,106,105,45.42857142857143
125,106,123,51.6
126,106,124,70.4
127,106,125,24.266666666666666
128,106,127,109.46666666666667
129,123,19,556.5
130,123,24,269.75757575757575
131,123,38,133.0
132,123,72,86.93181818181819
133,123,105,95.54166666666667
134,123,106,50.357142857142854
135,123,124,16.285714285714285
136,123,125,24.369230769230768
137,123,127,57.0
138,123,145,110.46153846153847
139,123,148,137.3846153846154
140,123,151,157.15384615384616
141,124,19,578.25
142,124,24,251.33333333333334
143,124,38,115.33333333333333
144,124,72,69.73333333333333
145,124,105,119.625
146,124,106,72.25
147,124,123,17.8
148,124,125,46.6
149,124,127,41.107142857142854
150,124,145,89.46153846153847
151,124,148,116.38461538461539
152,124,151,136.15384615384616
153,125,19,526.5
154,125,24,298.0
155,125,38,161.29545454545453
156,125,72,115.22727272727273
157,125,105,68.5
158,125,106,23.357142857142858
159,125,123,27.210526315789473
160,125,124,50.07142857142857
161,125,127,87.98245614035088
162,125,145,150.53846153846155
163,125,148,177.46153846153845
164,125,151,197.23076923076923
165,127,19,608.8333333333334
166,127,24,212.13888888888889
167,127,38,75.63829787234043
168,127,72,30.53968253968254
169,127,105,152.83333333333334
170,127,106,107.07142857142857
171,127,123,54.47692307692308
172,127,124,36.48
173,127,125,82.81538461538462
174,127,145,43.793103448275865
175,127,148,70.72413793103448
176,127,151,91.75862068965517
177,145,19,679.7083333333334
178,145,72,114.5
179,145,123,112.0
180,145,124,92.0
181,145,125,141.75
182,145,127,51.0
183,145,148,23.93103448275862
184,145,151,44.96551724137931
185,148,19,708.9583333333334
186,148,72,144.875
187,148,123,139.0
188,148,124,119.0
189,148,125,168.75
190,148,127,80.25
191,148,145,25.583333333333332
192,148,151,19.03448275862069
193,151,19,728.7916666666666
194,151,72,164.625
195,151,123,159.0
196,151,124,139.0
197,151,125,188.75
198,151,127,100.08333333333333
199,151,145,45.416666666666664
200,151,148,17.833333333333332
