route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000006,OCESN14155F2635885:2023-10-04T00:41:06Z,14155,1,44,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000030,OCESN14157F1794023:2023-10-09T00:43:50Z,14157,1,45,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000017,OCESN14157F2408947:2023-08-29T11:49:37Z,14157,1,46,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000031,OCESN14157F2409386:2023-10-10T00:42:10Z,14157,1,47,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000032,OCESN14157F2635669:2023-10-04T00:41:06Z,14157,1,48,
FR:Line::148cb049-2cd5-4f43-8640-5b4a3ae6e128:,000033,OCESN14157F2636198:2023-10-04T00:41:06Z,14157,1,49,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000034,OCESN15940F2609542:2023-10-10T00:42:10Z,15940,0,50,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000035,OCESN15940F2632097:2023-09-27T00:39:01Z,15940,0,51,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000036,OCESN15940F2632112:2023-09-27T00:39:01Z,15940,0,52,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000013,OCESN15940F2662110:2023-10-04T00:41:06Z,15940,0,53,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000034,OCESN15941F2610953:2023-10-10T00:42:10Z,15941,1,54,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000022,OCESN15941F2632014:2023-10-10T00:42:10Z,15941,1,55,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000037,OCESN15941F2632099:2023-10-10T00:42:10Z,15941,1,56,
FR:Line::b262568e-13b4-4352-bcf6-2b290ec3644f:,000032,OCESN15941F2662063:2023-10-10T00:42:10Z,15941,1,57,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000038,OCESN3604F2148686:2023-10-09T00:43:50Z,3604,0,58,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000039,OCESN3604F2444756:2023-10-09T00:43:50Z,3604,0,59,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000040,OCESN3604F2508766:2023-10-09T00:43:50Z,3604,0,60,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000041,OCESN3604F2508767:2023-10-09T00:43:50Z,3604,0,61,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000042,OCESN3604F2544169:2023-10-10T00:42:10Z,3604,0,62,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000043,OCESN3604F2591589:2023-10-10T00:42:10Z,3604,0,63,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000044,OCESN3605F2374242:2023-08-29T11:49:37Z,3605,1,64,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000045,OCESN3605F2406382:2023-08-29T11:49:37Z,3605,1,65,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000046,OCESN3605F2406383:2023-08-29T11:49:37Z,3605,1,66,
FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,000047,OCESN3605F2542570:2023-09-06T00:34:27Z,3605,1,67,
