,index,place_id_x,place_id_y,duration_min,duration_max,duration_median
115,115,france_19,france_80,583.0,612.0,598.5
116,116,france_19,france_93,272.0,352.0,302.0
117,117,france_19,france_97,172.0,230.0,179.0
118,118,france_2,france_19,37.0,66.0,59.0
119,119,france_2,france_3,13.0,25.0,20.0
120,120,france_2,france_4,36.0,48.0,37.5
121,121,france_2,france_5,98.0,123.0,100.5
122,122,france_2,france_6,184.0,208.0,186.0
123,123,france_2,france_7,144.0,168.0,146.0
124,124,france_24,france_1,127.0,137.0,132.0
125,125,france_24,france_10,142.0,144.0,142.0
126,126,france_24,france_105,363.0,387.0,368.0
127,127,france_24,france_106,320.0,339.0,322.0
128,128,france_24,france_123,264.0,287.0,268.0
129,129,france_24,france_124,246.0,267.0,246.0
130,130,france_24,france_125,292.0,315.0,296.0
131,131,france_24,france_127,209.0,228.0,211.0
132,132,france_24,france_15,90.0,93.0,91.0
133,133,france_24,france_19,295.0,318.0,306.5
134,134,france_24,france_38,128.0,139.0,129.0
135,135,france_24,france_72,179.0,196.0,179.0
136,136,france_28,france_19,190.0,246.0,205.5
137,137,france_28,france_38,201.0,223.0,209.0
138,138,france_3,france_19,21.0,43.0,34.0
139,139,france_3,france_2,13.0,19.0,17.0
140,140,france_3,france_4,56.0,63.0,57.5
141,141,france_3,france_5,119.0,138.0,120.5
142,142,france_3,france_6,205.0,229.0,207.0
143,143,france_3,france_7,164.0,189.0,167.0
144,144,france_38,france_105,226.0,238.0,231.0
145,145,france_38,france_106,183.0,188.0,185.0
146,146,france_38,france_123,126.0,143.0,132.0
147,147,france_38,france_124,109.0,122.0,109.0
148,148,france_38,france_125,154.0,171.0,160.0
149,149,france_38,france_127,72.0,79.0,73.5
150,150,france_38,france_19,407.0,530.0,423.5
151,151,france_38,france_24,128.0,139.0,129.0
152,152,france_38,france_28,201.0,223.0,209.0
153,153,france_38,france_72,41.0,48.0,43.0
154,154,france_38,france_80,107.0,124.0,109.0
155,155,france_38,france_83,206.0,244.0,212.0
156,156,france_38,france_85,257.0,282.0,266.0
157,157,france_4,france_19,94.0,120.0,106.0
158,158,france_4,france_2,36.0,59.0,43.0
159,159,france_4,france_3,57.0,81.0,70.0
160,160,france_4,france_5,58.0,73.0,60.0
161,161,france_4,france_6,144.0,169.0,145.0
162,162,france_4,france_7,103.0,129.0,105.0
163,163,france_45,france_19,704.0,756.0,733.0
164,164,france_5,france_19,158.0,197.0,170.0
165,165,france_5,france_2,98.0,141.0,105.0
166,166,france_5,france_3,119.0,167.0,133.0
167,167,france_5,france_4,59.0,76.0,59.0
168,168,france_5,france_6,82.0,99.0,83.0
169,169,france_5,france_7,42.0,59.0,43.0
170,170,france_6,france_19,247.0,293.0,284.5
171,171,france_6,france_2,194.0,238.0,227.0
172,172,france_6,france_3,210.0,264.0,245.5
173,173,france_6,france_4,150.0,182.0,165.0
174,174,france_6,france_5,80.0,102.0,89.5
175,175,france_6,france_7,35.0,40.0,39.5
176,176,france_7,france_19,209.0,250.0,242.0
177,177,france_7,france_2,156.0,195.0,184.5
178,178,france_7,france_3,172.0,221.0,203.0
179,179,france_7,france_4,112.0,139.0,122.5
180,180,france_7,france_5,42.0,59.0,48.5
181,181,france_7,france_6,37.0,38.0,37.0
182,182,france_72,france_105,181.0,190.0,185.0
183,183,france_72,france_106,137.0,141.0,139.0
184,184,france_72,france_123,82.0,95.0,85.0
185,185,france_72,france_124,65.0,78.0,65.0
186,186,france_72,france_125,110.0,123.0,113.0
187,187,france_72,france_127,28.0,40.0,29.0
188,188,france_72,france_145,119.0,121.0,119.0
189,189,france_72,france_148,146.0,147.0,146.0
190,190,france_72,france_151,168.0,170.0,168.0
191,191,france_72,france_19,555.0,600.0,563.0
192,192,france_72,france_24,176.0,190.0,179.0
193,193,france_72,france_38,42.0,52.0,44.0
194,194,france_80,france_19,631.0,657.0,641.0
195,195,france_80,france_38,107.0,119.0,108.0
196,196,france_80,france_83,93.0,128.0,100.0
197,197,france_80,france_85,145.0,168.0,152.5
198,198,france_83,france_38,203.0,248.0,210.0
199,199,france_83,france_80,92.0,134.0,96.0
200,200,france_83,france_85,35.0,44.0,36.0
201,201,france_85,france_38,246.0,271.0,257.5
202,202,france_85,france_80,136.0,160.0,147.0
203,203,france_85,france_83,32.0,33.0,33.0
204,204,france_93,france_19,288.0,340.0,303.0
205,205,france_93,france_93,8.0,9.0,8.0
206,206,france_97,france_19,170.0,220.0,176.0
